model_family,router_policy,prompt_type,rows,mean_speedup,median_speedup,best_speedup,worst_speedup,slowdown_rate,mean_latency_ms,speculative_share,speculated_mean_speedup,speculated_slowdown_rate
llama,always_speculate_k1,code_completion,36,0.7184266709235637,0.6588606323326702,1.91160535710198,0.1336379337214472,0.8333333333333334,5156.848459750102,1.0,0.7184266709235636,0.8333333333333334
llama,always_speculate_k1,factual_qa,36,0.6331456665637795,0.6601154897651864,0.6649283340583918,0.1711680925295303,1.0,5803.056918944467,1.0,0.6331456665637795,1.0
llama,always_speculate_k1,open_ended,36,0.6108476754449695,0.6601901648593946,0.6653217178249888,0.0574130698804756,1.0,5768.105474083301,1.0,0.6108476754449694,1.0
llama,always_speculate_k1,structured_json,36,1.4110137622384316,0.6578717943786545,11.146355397923369,0.0461393806580564,0.8333333333333334,4027.515442027746,1.0,1.4110137622384318,0.8333333333333334
llama,always_speculate_k1,summarization,36,0.7317528295070286,0.6593450933038165,1.1809186903439302,0.3059305736517062,0.8333333333333334,4950.7409291666445,1.0,0.7317528295070287,0.8333333333333334
llama,always_speculate_k2,code_completion,36,1.0388858812779167,0.8899589800213439,2.6434680562274817,0.1849951341305218,0.7777777777777778,3610.2242011389194,1.0,1.0388858812779167,0.7777777777777778
llama,always_speculate_k2,factual_qa,36,0.8565864719219078,0.8776354565962834,0.9796406614339144,0.2280359542698784,1.0,4312.400983972231,1.0,0.8565864719219078,1.0
llama,always_speculate_k2,open_ended,36,0.8578891226584661,0.9424622573854511,0.9646920030195206,0.0753945671886478,1.0,4134.409235888849,1.0,0.857889122658466,1.0
llama,always_speculate_k2,structured_json,36,1.7365711224907852,0.9730211071017021,12.841767892862556,0.0689041975885971,0.8333333333333334,2717.4152416944253,1.0,1.7365711224907852,0.8333333333333334
llama,always_speculate_k2,summarization,36,1.0336328468664653,0.9577062715590272,1.7226777594145632,0.4445484800854796,0.8055555555555556,3564.131640138896,1.0,1.0336328468664655,0.8055555555555556
llama,always_speculate_k4,code_completion,36,1.1803479229156897,0.9936009947176647,3.0824568753194597,0.2153970790841691,0.5,3256.7382849445103,1.0,1.1803479229156897,0.5
llama,always_speculate_k4,factual_qa,36,0.9523409137132938,0.9365487103106764,1.2874121529589275,0.2433199412047646,0.6666666666666666,4049.4512573611323,1.0,0.9523409137132935,0.6666666666666666
llama,always_speculate_k4,open_ended,36,1.0174491435892206,1.1660775003871673,1.1790447728018407,0.0796105120111018,0.3333333333333333,3550.7339768333345,1.0,1.017449143589221,0.3333333333333333
llama,always_speculate_k4,structured_json,36,1.6492273323118316,1.2715175588087608,10.17950085590807,0.0672908182503662,0.3888888888888889,2134.8669294444057,1.0,1.6492273323118314,0.3888888888888889
llama,always_speculate_k4,summarization,36,1.2347489382221661,1.233809805274106,2.1694758709082143,0.4506671116350785,0.3611111111111111,3149.807945749975,1.0,1.2347489382221661,0.3611111111111111
llama,always_speculate_k8,code_completion,36,1.1801428716414242,1.0320885994744389,3.4082302458847296,0.237355747403013,0.4722222222222222,3565.3994552221584,1.0,1.180142871641424,0.4722222222222222
llama,always_speculate_k8,factual_qa,36,0.9221346584717216,0.7607902017915709,1.5417795027346646,0.1974605264876527,0.6666666666666666,4737.560246638863,1.0,0.9221346584717216,0.6666666666666666
llama,always_speculate_k8,open_ended,36,0.9947015823360386,1.169124007829136,1.2386858000613492,0.0656699219421042,0.3333333333333333,3795.9910721111028,1.0,0.9947015823360386,0.3333333333333333
llama,always_speculate_k8,structured_json,36,1.3663400953375617,1.4274431033806714,6.174309607883329,0.0406765106192593,0.4722222222222222,1982.1117741944238,1.0,1.366340095337562,0.4722222222222222
llama,always_speculate_k8,summarization,36,1.2078165811604213,1.259356457887909,2.246102677038859,0.3560270043899703,0.3611111111111111,3515.7006767777198,1.0,1.2078165811604213,0.3611111111111111
llama,never_speculate,code_completion,36,1.0,1.0,1.0,1.0,0.0,3440.807391527806,0.0,1.0,0.0
llama,never_speculate,factual_qa,36,1.0,1.0,1.0,1.0,0.0,3674.442600166628,0.0,1.0,0.0
llama,never_speculate,open_ended,36,1.0,1.0,1.0,1.0,0.0,3522.0684971111873,0.0,1.0,0.0
llama,never_speculate,structured_json,36,1.0,1.0,1.0,1.0,0.0,2462.9915543611105,0.0,1.0,0.0
llama,never_speculate,summarization,36,1.0,1.0,1.0,1.0,0.0,3446.4904434444243,0.0,1.0,0.0
llama,oracle_per_row,code_completion,36,1.3552117336200282,1.052538496905231,3.4082302458847296,1.0,0.0,2771.0068332222463,0.5277777777777778,1.6730327584379483,0.0
llama,oracle_per_row,factual_qa,36,1.1741664265412208,1.0,1.5417795027346646,1.0,0.0,3237.8988129443655,0.3333333333333333,1.5224992796236627,0.0
llama,oracle_per_row,open_ended,36,1.1331395487645706,1.1719655192708966,1.2386858000613492,1.0,0.0,3100.0373478889414,0.6666666666666666,1.1997093231468556,0.0
llama,oracle_per_row,structured_json,36,2.173591644541373,1.4364997025141943,12.841767892862556,1.0,0.0,1572.1216409999986,0.6111111111111112,2.920422691067701,0.0
llama,oracle_per_row,summarization,36,1.3452242624230297,1.259356457887909,2.246102677038859,1.0,0.0,2747.295158527777,0.6388888888888888,1.5403510194447418,0.0
llama,trained_global_router,code_completion,36,1.1803479229156897,0.9936009947176647,3.0824568753194597,0.2153970790841691,0.5,3256.7382849445103,1.0,1.1803479229156897,0.5
llama,trained_global_router,factual_qa,36,0.9523409137132938,0.9365487103106764,1.2874121529589275,0.2433199412047646,0.6666666666666666,4049.4512573611323,1.0,0.9523409137132935,0.6666666666666666
