model_family,seed_label,prompt_id,prompt_type,temperature,repetition,baseline_latency_ms,k1_speedup,k1_latency_ms,k2_speedup,k2_latency_ms,k4_speedup,k4_latency_ms,k8_speedup,k8_latency_ms,router_policy,router_action,router_speedup,router_latency_ms,router_used_speculation
llama,seed42,code_001,code_completion,0.0,0,4154.860382999914,0.8068928917286186,5149.209301000155,1.8612070562612977,2232.3472120001497,2.1773451826941277,1908.223103999944,2.4087146031299556,1724.928464999948,never_speculate,baseline,1.0,4154.860382999914,False
llama,seed42,code_001,code_completion,0.0,1,2022.168461999854,0.6588845852950836,3069.078420000096,0.9080843593510984,2226.8508879999445,1.0534188162295124,1919.6243989999855,1.1672216940868276,1732.4630549999256,never_speculate,baseline,1.0,2022.168461999854,False
llama,seed42,code_001,code_completion,0.3,0,1781.585619999987,0.5803230756429804,3069.9892780000937,0.7959895766307455,2238.2021979999536,0.9337831732058172,1907.9221720000987,1.0239493760676144,1739.9157239999568,never_speculate,baseline,1.0,1781.585619999987,False
llama,seed42,code_001,code_completion,0.3,1,5907.137222000074,1.91160535710198,3090.1447310000094,2.6434680562274817,2234.6164570001292,3.0824568753194597,1916.3730299999315,3.4082302458847296,1733.197816999791,never_speculate,baseline,1.0,5907.137222000074,False
llama,seed42,code_001,code_completion,0.7,0,3296.632762000172,1.0653936468291134,3094.286108999995,1.4710178451852003,2241.0555880001084,1.724027936752629,1912.1689920000335,1.8953657799601935,1739.31216699998,never_speculate,baseline,1.0,3296.632762000172,False
llama,seed42,code_001,code_completion,0.7,1,3725.8234230000658,1.2081777867582553,3083.8370509998185,1.6633499631673612,2239.9516069999663,1.9490069312388496,1911.652217999972,2.137962443030092,1742.6982570000291,never_speculate,baseline,1.0,3725.8234230000658,False
llama,seed42,code_002,code_completion,0.0,0,3864.761076999912,0.4904663746138837,7879.76765999997,0.9536359172714785,4052.6588889999857,1.1253607305492488,3434.2419919998974,1.0893240214515545,3547.8526140000213,never_speculate,baseline,1.0,3864.761076999912,False
llama,seed42,code_002,code_completion,0.0,1,3710.048572000005,0.6567320911686522,5649.257318000082,0.9209824083475204,4028.359866999835,1.0811276177428475,3431.647208999948,1.0402278228812631,3566.5731009999035,never_speculate,baseline,1.0,3710.048572000005,False
llama,seed42,code_002,code_completion,0.3,0,2476.903144999824,0.438917923890605,5643.2034560000375,0.6182238065068935,4006.482958000106,0.7260040344152673,3411.693362000051,0.6948468051685016,3564.675158,never_speculate,baseline,1.0,2476.903144999824,False
llama,seed42,code_002,code_completion,0.3,1,3038.625707999927,0.5383869182636405,5643.944168999951,0.7554592914074493,4022.222961000125,0.8833623289878744,3439.840718000142,0.849781689907688,3575.772159000053,never_speculate,baseline,1.0,3038.625707999927,False
