model_family,validation_seed,router_policy,prompt_type,chosen_action
llama,seed42,trained_global_router,*,k4
llama,seed42,trained_regime_router,code_completion,k4
llama,seed42,trained_regime_router,factual_qa,baseline
llama,seed42,trained_regime_router,open_ended,baseline
llama,seed42,trained_regime_router,structured_json,k2
llama,seed42,trained_regime_router,summarization,k4
llama,seed43,trained_global_router,*,k4
llama,seed43,trained_regime_router,code_completion,k8
llama,seed43,trained_regime_router,factual_qa,baseline
llama,seed43,trained_regime_router,open_ended,k4
llama,seed43,trained_regime_router,structured_json,k2
llama,seed43,trained_regime_router,summarization,k4
qwen,seed42,trained_global_router,*,baseline
qwen,seed42,trained_regime_router,code_completion,baseline
qwen,seed42,trained_regime_router,factual_qa,baseline
qwen,seed42,trained_regime_router,open_ended,baseline
qwen,seed42,trained_regime_router,structured_json,baseline
qwen,seed42,trained_regime_router,summarization,baseline
qwen,seed43,trained_global_router,*,baseline
qwen,seed43,trained_regime_router,code_completion,baseline
qwen,seed43,trained_regime_router,factual_qa,baseline
qwen,seed43,trained_regime_router,open_ended,baseline
qwen,seed43,trained_regime_router,structured_json,baseline
qwen,seed43,trained_regime_router,summarization,baseline
