model_family,router_policy,rows,mean_speedup,median_speedup,best_speedup,worst_speedup,slowdown_rate,mean_latency_ms,speculative_share,speculated_mean_speedup,speculated_slowdown_rate
llama,always_speculate_k1,180,0.8210373209355546,0.6593418758486633,11.146355397923369,0.0461393806580564,0.9,5141.253444794453,1.0,0.8210373209355546,0.9
llama,always_speculate_k2,180,1.1047130890431083,0.9359590954110573,12.841767892862556,0.0689041975885971,0.8833333333333333,3667.7162605666645,1.0,1.1047130890431083,0.8833333333333333
llama,always_speculate_k4,180,1.2068228501504403,1.1270187521256552,10.17950085590807,0.0672908182503662,0.45,3228.319678866671,1.0,1.2068228501504403,0.45
llama,always_speculate_k8,180,1.1342271577894336,1.0675471031897348,6.174309607883329,0.0406765106192593,0.46111111111111114,3519.3526449888536,1.0,1.1342271577894334,0.46111111111111114
llama,never_speculate,180,1.0,1.0,1.0,1.0,0.0,3309.3600973222315,0.0,1.0,0.0
llama,oracle_per_row,180,1.4362667231780444,1.1621137696586303,12.841767892862556,1.0,0.0,2685.671958716666,0.5555555555555556,1.7852801017204802,0.0
llama,trained_global_router,180,1.2068228501504403,1.1270187521256552,10.17950085590807,0.0672908182503662,0.45,3228.319678866671,1.0,1.2068228501504403,0.45
llama,trained_regime_router,180,1.2293976960117414,1.0,12.841767892862556,0.0689041975885971,0.37222222222222223,3307.7477125388746,0.7,1.327710994302488,0.5317460317460317
qwen,always_speculate_k1,180,0.5422184589554891,0.5401238351115387,0.7036188124385245,0.532649581490851,1.0,6177.05607233884,1.0,0.5422184589554891,1.0
qwen,always_speculate_k2,180,0.6590212719350959,0.6315306756595027,1.5008939174366869,0.5916420660066759,0.9888888888888889,5119.219434638825,1.0,0.6590212719350957,0.9888888888888889
qwen,always_speculate_k4,180,0.6519860755158222,0.5993823359794495,1.573925748118825,0.5254128646392245,0.9888888888888889,5265.0675940721785,1.0,0.6519860755158223,0.9888888888888889
qwen,always_speculate_k8,180,0.5212994952812463,0.43454125990098763,1.398791422184143,0.3314886885543695,0.9888888888888889,6900.557475066621,1.0,0.5212994952812463,0.9888888888888889
qwen,never_speculate,180,1.0,1.0,1.0,1.0,0.0,3356.7168968999895,0.0,1.0,0.0
qwen,oracle_per_row,180,1.0061761264299531,1.0,1.573925748118825,1.0,0.0,3328.6660836610963,0.011111111111111112,1.5558513786957984,0.0
qwen,trained_global_router,180,1.0,1.0,1.0,1.0,0.0,3356.7168968999895,0.0,1.0,0.0
qwen,trained_regime_router,180,1.0,1.0,1.0,1.0,0.0,3356.7168968999895,0.0,1.0,0.0
