model_family,prompt_type,rows,mean_speedup,median_speedup,std_speedup,best_speedup,worst_speedup,slowdown_rate,mean_acceptance_rate,mean_draft_overhead_ms,verifier_calls_per_output_token
llama,code_completion,144,1.0294508366896487,0.8775979648397318,0.6165495062327446,3.4082302458847296,0.1336379337214472,0.6458333333333334,0.7001854236524837,2162.4253279652535,0.5238653273809524
llama,factual_qa,144,0.8410519276676757,0.7622251441895243,0.30670877560170057,1.5417795027346646,0.1711680925295303,0.8333333333333334,0.6769073084380083,2636.2418754654695,0.5390625
llama,open_ended,144,0.8702218810071737,0.9301653444363627,0.31209370622190197,1.2386858000613492,0.0574130698804756,0.6666666666666666,0.7686108502643978,2342.2213843194395,0.5110677083333334
llama,structured_json,144,1.5407880780946526,0.8348825967268119,2.5300929383557076,12.841767892862556,0.0406765106192593,0.6319444444444444,0.7210881954678944,1431.1008393962227,0.5478877314814814
llama,summarization,144,1.0519877989390205,0.9570250666208324,0.46757214645049894,2.246102677038859,0.3059305736517062,0.5902777777777778,0.7689347623455949,2078.6417959373075,0.5147569444444444
qwen,code_completion,144,0.6930341517285264,0.686728858555874,0.18359941678672695,1.573925748118825,0.5350903638085318,0.9583333333333334,0.741253035012127,3438.331719923708,0.5130208333333334
qwen,factual_qa,144,0.5617541075948614,0.5541985151555617,0.08396742954263917,0.7219017135622914,0.4035297271391614,1.0,0.5520690913244699,4143.536771791784,0.5657552083333334
qwen,open_ended,144,0.5487581831738321,0.5561046757040686,0.0713787115109199,0.6547574136446531,0.423519572249422,1.0,0.520621010280024,4220.054495159508,0.572265625
qwen,structured_json,144,0.6467004355166104,0.6642486314046674,0.12123591880069201,0.9860240576560244,0.4243864411212775,1.0,0.7054491784895788,3590.707973534933,0.5247395833333334
qwen,summarization,144,0.5179097490957365,0.5380076121450668,0.09205523273620105,0.6298024511775092,0.3314886885543695,1.0,0.46471991242516986,4635.955071861316,0.5970052083333334
