acceptance_rate,adaptive_policy,average_selected_k,device_type,draft_forward_calls,draft_k,draft_model,draft_overhead_ms,draft_tokens_accepted,draft_tokens_proposed,draft_tokens_rejected,dtype,error,exact_output_match_with_baseline,expected_entropy_level,generated_tokens,gpu_max_memory_allocated_bytes,gpu_memory_allocated_bytes,gpu_memory_allocated_mb,gpu_memory_reserved_bytes,gpu_memory_reserved_mb,gpu_name,latency_ms,max_selected_k,min_selected_k,mode,model_pair,output_length,prompt_id,prompt_type,repetition,schedule_type,slowdown_flag,speedup_vs_baseline,static_draft_k,temperature,time_to_first_token_ms,tokens_per_second,total_latency_ms,validation_level,verifier_calls_per_output_token,verifier_forward_calls,verifier_model,wasted_draft_tokens
0.0,,,cuda,0,,meta-llama/Llama-3.2-1B,,0,0,0,torch.bfloat16,,,medium,70,18599607296,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,4227.846691000195,,,baseline,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,False,,,0.0,33.818763000454055,16.55689175035812,4227.846691000195,gpu_llama_full_static_seed43,1.0,70,meta-llama/Llama-3.1-8B,
0.8714285714285714,,,cuda,70,1,meta-llama/Llama-3.2-1B,3015.0402049994227,61,70,9,torch.bfloat16,,True,medium,70,18599607808,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,5297.148040000138,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,True,0.7981364045472448,1,0.0,,13.214658052108767,5297.148040000138,gpu_llama_full_static_seed43,1.0,70,meta-llama/Llama-3.1-8B,
0.8026315789473685,,,cuda,76,2,meta-llama/Llama-3.2-1B,1174.7882510044292,61,76,9,torch.bfloat16,,True,medium,70,18599955968,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,2347.8802209992864,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,False,1.8007079974466382,2,0.0,,29.81412738772813,2347.8802209992864,gpu_llama_full_static_seed43,0.5428571428571428,38,meta-llama/Llama-3.1-8B,
0.7093023255813954,,,cuda,86,4,meta-llama/Llama-3.2-1B,1320.5323000038334,61,86,9,torch.bfloat16,,True,medium,70,18600400896,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,2003.4311019999222,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,False,2.110303013055829,4,0.0,,34.940058547619934,2003.4311019999222,gpu_llama_full_static_seed43,0.3142857142857143,22,meta-llama/Llama-3.1-8B,
0.648936170212766,,,cuda,94,8,meta-llama/Llama-3.2-1B,1446.4727009990384,61,94,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,1824.6793389998857,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,0,static,False,2.3170354377539537,8,0.0,,38.36290492463585,1824.6793389998857,gpu_llama_full_static_seed43,0.17142857142857143,12,meta-llama/Llama-3.1-8B,
0.0,,,cuda,0,,meta-llama/Llama-3.2-1B,,0,0,0,torch.bfloat16,,,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,2141.5781899995636,,,baseline,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,False,,,0.0,32.126037999660184,32.68617523603668,2141.5781899995636,gpu_llama_full_static_seed43,1.0,70,meta-llama/Llama-3.1-8B,
0.8714285714285714,,,cuda,70,1,meta-llama/Llama-3.2-1B,1089.8844560015277,61,70,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,3248.0502170001273,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,True,0.6593426969788378,1,0.0,,21.55139093405133,3248.0502170001273,gpu_llama_full_static_seed43,1.0,70,meta-llama/Llama-3.1-8B,
0.8026315789473685,,,cuda,76,2,meta-llama/Llama-3.2-1B,1172.6324189976367,61,76,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,2345.540192000044,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,True,0.9130426318439839,2,0.0,,29.843871462424588,2345.540192000044,gpu_llama_full_static_seed43,0.5428571428571428,38,meta-llama/Llama-3.1-8B,
0.7093023255813954,,,cuda,86,4,meta-llama/Llama-3.2-1B,1322.344034996604,61,86,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,2004.5859320007366,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,False,1.068339429012204,4,0.0,,34.91992978826027,2004.5859320007366,gpu_llama_full_static_seed43,0.3142857142857143,22,meta-llama/Llama-3.1-8B,
0.648936170212766,,,cuda,94,8,meta-llama/Llama-3.2-1B,1454.6373179964576,61,94,9,torch.bfloat16,,True,medium,70,18602008064,18566756352,18566.756352,18763218944,18763.218944,NVIDIA GH200 480GB,1836.0176269998192,,,speculative,meta-llama/Llama-3.2-1B->meta-llama/Llama-3.1-8B,70,code_001,code_completion,1,static,False,1.1664257240814466,8,0.0,,38.12599561714714,1836.0176269998192,gpu_llama_full_static_seed43,0.17142857142857143,12,meta-llama/Llama-3.1-8B,
