acceptance_rate,adaptive_policy,average_selected_k,device_type,draft_forward_calls,draft_k,draft_model,draft_overhead_ms,draft_tokens_accepted,draft_tokens_proposed,draft_tokens_rejected,dtype,error,exact_output_match_with_baseline,expected_entropy_level,generated_tokens,gpu_max_memory_allocated_bytes,gpu_memory_allocated_bytes,gpu_memory_allocated_mb,gpu_memory_reserved_bytes,gpu_memory_reserved_mb,gpu_name,latency_ms,max_selected_k,min_selected_k,mode,model_pair,output_length,prompt_id,prompt_type,repetition,schedule_type,slowdown_flag,speedup_vs_baseline,static_draft_k,temperature,time_to_first_token_ms,tokens_per_second,total_latency_ms,validation_level,verifier_calls_per_output_token,verifier_forward_calls,verifier_model,wasted_draft_tokens
0.0,,,cuda,0,,Qwen/Qwen2.5-0.5B-Instruct,,0,0,0,torch.bfloat16,,,medium,128,16357811200,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,7130.8264740000595,,,baseline,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,False,,,0.0,28.34986299967568,17.95023346405988,7130.8264740000595,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.875,,,cuda,128,1,Qwen/Qwen2.5-0.5B-Instruct,6677.597119003622,112,128,16,torch.bfloat16,,True,medium,128,16357812224,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,10286.699373000374,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,True,0.693208405867914,1,0.0,,12.443252724577833,10286.699373000374,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.8175182481751825,,,cuda,137,2,Qwen/Qwen2.5-0.5B-Instruct,3036.9524079978873,112,137,16,torch.bfloat16,,True,medium,128,16358024192,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,4872.22241299969,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,False,1.4635675200241547,2,0.0,,26.271378674848712,4872.22241299969,gpu_qwen_full_static_seed43,0.5390625,69,Qwen/Qwen2.5-7B-Instruct,
0.6956521739130435,,,cuda,161,4,Qwen/Qwen2.5-0.5B-Instruct,3540.7986400050504,112,161,16,torch.bfloat16,,True,medium,128,16359073280,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,4637.100457999622,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,False,1.5377770092727718,4,0.0,,27.60345633211003,4637.100457999622,gpu_qwen_full_static_seed43,0.3203125,41,Qwen/Qwen2.5-7B-Instruct,
0.5490196078431373,,,cuda,204,8,Qwen/Qwen2.5-0.5B-Instruct,4501.592822994098,112,204,16,torch.bfloat16,,True,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,5210.75018800002,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,False,1.368483657194282,8,0.0,,24.56460113838785,5210.75018800002,gpu_qwen_full_static_seed43,0.203125,26,Qwen/Qwen2.5-7B-Instruct,
0.0,,,cuda,0,,Qwen/Qwen2.5-0.5B-Instruct,,0,0,0,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,3327.959686000213,,,baseline,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,False,,,0.0,27.447484000731492,38.46200437416952,3327.959686000213,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.875,,,cuda,128,1,Qwen/Qwen2.5-0.5B-Instruct,2838.645292995352,112,128,16,torch.bfloat16,,True,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,6219.434905000526,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,True,0.5350903638085318,1,0.0,,20.58064791337971,6219.434905000526,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.8175182481751825,,,cuda,137,2,Qwen/Qwen2.5-0.5B-Instruct,3027.905455001928,112,137,16,torch.bfloat16,,True,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,4862.442064999414,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,True,0.6844214576776895,2,0.0,,26.324221098974768,4862.442064999414,gpu_qwen_full_static_seed43,0.5390625,69,Qwen/Qwen2.5-7B-Instruct,
0.6956521739130435,,,cuda,161,4,Qwen/Qwen2.5-0.5B-Instruct,3534.5435849985734,112,161,16,torch.bfloat16,,True,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,4629.767692999849,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,True,0.7188178558142445,4,0.0,,27.647175514558626,4629.767692999849,gpu_qwen_full_static_seed43,0.3203125,41,Qwen/Qwen2.5-7B-Instruct,
0.5490196078431373,,,cuda,204,8,Qwen/Qwen2.5-0.5B-Instruct,4487.215492001269,112,204,16,torch.bfloat16,,True,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,5195.227432000138,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,True,0.6405801727757978,8,0.0,,24.637997407309,5195.227432000138,gpu_qwen_full_static_seed43,0.203125,26,Qwen/Qwen2.5-7B-Instruct,
0.0,,,cuda,0,,Qwen/Qwen2.5-0.5B-Instruct,,0,0,0,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,3405.4221380001763,,,baseline,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,False,,,0.3,63.989386000685045,37.58711690150919,3405.4221380001763,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.875,,,cuda,128,1,Qwen/Qwen2.5-0.5B-Instruct,2844.1288210015045,112,128,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,6236.330953000106,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,True,0.5460618051968414,1,0.3,,20.52488890738282,6236.330953000106,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.8175182481751825,,,cuda,137,2,Qwen/Qwen2.5-0.5B-Instruct,3037.0997759982856,112,137,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,4876.747622000039,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,True,0.6982978004926065,2,0.3,,26.247001059182345,4876.747622000039,gpu_qwen_full_static_seed43,0.5390625,69,Qwen/Qwen2.5-7B-Instruct,
0.6956521739130435,,,cuda,161,4,Qwen/Qwen2.5-0.5B-Instruct,3545.216420991892,112,161,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,4642.440910000005,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,True,0.7335412995057751,4,0.3,,27.571702576608534,4642.440910000005,gpu_qwen_full_static_seed43,0.3203125,41,Qwen/Qwen2.5-7B-Instruct,
0.5490196078431373,,,cuda,204,8,Qwen/Qwen2.5-0.5B-Instruct,4482.086552995497,112,204,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,5190.385322000111,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,True,0.6561019898784508,8,0.3,,24.66098219287413,5190.385322000111,gpu_qwen_full_static_seed43,0.203125,26,Qwen/Qwen2.5-7B-Instruct,
0.0,,,cuda,0,,Qwen/Qwen2.5-0.5B-Instruct,,0,0,0,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,3376.4325869997265,,,baseline,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,False,,,0.3,27.566108999963035,37.90983433012648,3376.4325869997265,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.875,,,cuda,128,1,Qwen/Qwen2.5-0.5B-Instruct,2847.9684199974145,112,128,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,6238.583141999698,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,True,0.541217855103788,1,0.3,,20.517479223491,6238.583141999698,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.8175182481751825,,,cuda,137,2,Qwen/Qwen2.5-0.5B-Instruct,3029.073918006361,112,137,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,4863.253626999722,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,True,0.6942744191367093,2,0.3,,26.319828209117443,4863.253626999722,gpu_qwen_full_static_seed43,0.5390625,69,Qwen/Qwen2.5-7B-Instruct,
0.6956521739130435,,,cuda,161,4,Qwen/Qwen2.5-0.5B-Instruct,3554.447958002129,112,161,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,4655.86428000006,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,True,0.7251999594368939,4,0.3,,27.49221031846709,4655.86428000006,gpu_qwen_full_static_seed43,0.3203125,41,Qwen/Qwen2.5-7B-Instruct,
0.5490196078431373,,,cuda,204,8,Qwen/Qwen2.5-0.5B-Instruct,4480.027141991741,112,204,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,5188.973175999308,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,1,static,True,0.6506937832357329,8,0.3,,24.667693522109868,5188.973175999308,gpu_qwen_full_static_seed43,0.203125,26,Qwen/Qwen2.5-7B-Instruct,
0.0,,,cuda,0,,Qwen/Qwen2.5-0.5B-Instruct,,0,0,0,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,3368.1122900006812,,,baseline,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,False,,,0.7,27.78454300005251,38.00348354774541,3368.1122900006812,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
0.875,,,cuda,128,1,Qwen/Qwen2.5-0.5B-Instruct,2833.4917060001317,112,128,16,torch.bfloat16,,,medium,128,16361318912,16306199552,16306.199552,16909336576,16909.336576,NVIDIA GH200 480GB,6209.023983999941,,,speculative,Qwen/Qwen2.5-0.5B-Instruct->Qwen/Qwen2.5-7B-Instruct,128,code_001,code_completion,0,static,True,0.5424543855330537,1,0.7,,20.615156316007752,6209.023983999941,gpu_qwen_full_static_seed43,1.0,128,Qwen/Qwen2.5-7B-Instruct,
