device_type,draft_model,dtype,exact_output_match_with_hf_generate,generated_tokens,latency_ms,mode,prompt_id,prompt_type,repetition,speedup_vs_hf_generate,temperature,tokens_per_second,verifier_model
cuda,,torch.bfloat16,True,64,3352.986977999535,hf_generate,code_001,code_completion,0,,0.0,19.087458561555103,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,False,64,7179.870859001312,hf_assisted,code_001,code_completion,0,0.4669982293338798,0.0,8.913809350730038,Qwen/Qwen2.5-7B-Instruct
cuda,,torch.bfloat16,True,64,1635.0664960009453,hf_generate,code_002,code_completion,0,,0.0,39.14213896286882,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,False,64,5127.401878000455,hf_assisted,code_002,code_completion,0,0.3188879153429214,0.0,12.481955095932177,Qwen/Qwen2.5-7B-Instruct
cuda,,torch.bfloat16,True,64,1571.678645999782,hf_generate,code_003,code_completion,0,,0.0,40.72079248699602,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,False,64,4248.01115199989,hf_assisted,code_003,code_completion,0,0.369979877585741,0.0,15.06587381953315,Qwen/Qwen2.5-7B-Instruct
cuda,,torch.bfloat16,True,64,2281.368163001389,hf_generate,json_001,structured_json,0,,0.0,28.053341428154678,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,True,64,2620.151499999338,hf_assisted,json_001,structured_json,0,0.8707008594739524,0.0,24.42606849261051,Qwen/Qwen2.5-7B-Instruct
cuda,,torch.bfloat16,True,23,574.1812899996148,hf_generate,json_002,structured_json,0,,0.0,40.05703494799601,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,True,23,1561.0469569983252,hf_assisted,json_002,structured_json,0,0.3678180771087662,0.0,14.733701569250538,Qwen/Qwen2.5-7B-Instruct
cuda,,torch.bfloat16,True,64,1497.3200959993846,hf_generate,json_003,structured_json,0,,0.0,42.74303148070906,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,True,64,2482.3178670012567,hf_assisted,json_003,structured_json,0,0.6031943434416841,0.0,25.78235481071353,Qwen/Qwen2.5-7B-Instruct
cuda,,torch.bfloat16,True,64,1479.4375309993484,hf_generate,open_001,open_ended,0,,0.0,43.2596839399961,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,False,64,2954.0819120011292,hf_assisted,open_001,open_ended,0,0.5008112757432512,0.0,21.664937502239287,Qwen/Qwen2.5-7B-Instruct
cuda,,torch.bfloat16,True,64,1526.3126899990311,hf_generate,open_002,open_ended,0,,0.0,41.9311196318761,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,True,64,3589.719731000514,hf_assisted,open_002,open_ended,0,0.425189932466851,0.0,17.82868992453685,Qwen/Qwen2.5-7B-Instruct
cuda,,torch.bfloat16,True,64,1479.9804499998572,hf_generate,open_003,open_ended,0,,0.0,43.24381447066154,Qwen/Qwen2.5-7B-Instruct
cuda,Qwen/Qwen2.5-0.5B-Instruct,torch.bfloat16,True,64,4374.149723000301,hf_assisted,open_003,open_ended,0,0.33834700312560734,0.0,14.631415029868103,Qwen/Qwen2.5-7B-Instruct
